project	frequency
junit	1883
slf4j-api	764
oss-parent	700
log4j	671
commons-io	543
guava	520
servlet-api	489
slf4j-log4j12	482
commons-lang	444
commons-logging	436
mockito-all	385
commons-codec	335
lifecycle-mapping	333
spring-context	332
httpclient	290
spring-test	288
logback-classic	284
joda-time	283
jackson-mapper-asl	273
jcl-over-slf4j	264
testng	263
spring-core	263
mockito-core	261
android	244
spring-beans	235
spring-web	234
commons-collections	228
hsqldb	218
spring-webmvc	216
mysql-connector-java	215
gson	204
mail	203
h2	189
slf4j-simple	188
support-v4	187
jackson-databind	184
spring-aop	183
jackson-core-asl	181
commons-httpclient	179
ant	177
commons-lang3	176
xercesImpl	176
commons-cli	175
hamcrest-core	172
easymock	172
spring-jdbc	170
hibernate-validator	170
jsp-api	170
hibernate-entitymanager	167
jstl	167
spring-tx	166
hamcrest-all	166
hibernate-core	158
javassist	155
validation-api	152
commons-dbcp	150
hamcrest-library	148
spring-orm	146
guice	144
cglib	142
groovy-all	139
commons-fileupload	138
parent	136
commons-beanutils	134
aspectjrt	134
jetty-server	133
json	132
cglib-nodep	131
postgresql	129
xstream	126
xml-apis	120
hadoop-core	119
jackson-core	117
jsr305	117
asm	116
spring-context-support	116
jms	113
httpcore	111
netty	110
dom4j	108
jdom	107
velocity	106
plexus-utils	105
slf4j-jdk14	105
plugin	103
freemarker	103
jetty	102
jmxtools	101
jersey-server	100
aspectjweaver	100
jmxri	100
spring-security-core	98
jaxb-impl	95
library	95
junit-dep	95
spring-security-config	94
jta	94
tools	93
spring-security-web	93
lucene-core	92
spring-expression	92
xalan	89
xmlunit	89
cdi-api	89
wagon-ssh	88
jaxb-api	88
commons-pool	88
elasticsearch	87
jetty-servlet	87
jetty-webapp	87
gwt-user	86
scala-library	84
quartz	83
logback-core	81
core	81
derby	81
jackson-annotations	80
jsr250-api	80
snakeyaml	80
annotations	80
bukkit	80
jline	79
mongo-java-driver	79
ehcache-core	79
arquillian-junit-container	79
log4j-over-slf4j	78
commons-configuration	78
antlr	77
powermock-module-junit4	77
jetty-util	76
jersey-client	76
json-simple	76
persistence-api	76
git	74
activation	74
jsr311-api	74
selenium-java	71
jul-to-slf4j	70
actionbarsherlock	70
powermock-api-mockito	69
jersey-core	69
opencsv	68
protobuf-java	68
stax-api	66
httpmime	66
el-api	65
jettison	64
jackson-jaxrs	64
antlr-runtime	64
robolectric	63
jaxen	63
metrics-core	61
standard	61
spring	61
fest-assert	61
poi	60
jersey-json	60
target-platform-configuration	59
spring-aspects	58
c3p0	58
ehcache	58
easymockclassextension	56
zookeeper	56
gwt-dev	56
archetype-packaging	56
aws-java-sdk	56
jboss-logging	55
jfreechart	55
rome	54
aopalliance	54
jboss-parent	54
hibernate-annotations	54
jsoup	53
jna	53
jsf-api	52
arquillian-bom	51
jsch	51
android-test	51
commons-compress	50
wagon-webdav	49
commons-digester	49
js	49
fest-assert-core	48
spring-oxm	48
oro	48
groovy	48
gwt-servlet	48
wagon-webdav-jackrabbit	47
